,text
74,Zikuchitikadi izizi🤣🤣
76,I was not involved. My Malawi wake up 😱
77,Truth to be told 💯
78,Joel Malishe Mkulukuta life 🙄🥱
79,"There was one intelligent man among presidential candidates, but anyway people don't pay attention to such practical people..... Ufa nde tili nawo, tizimwa phala nzabhbho"
80,Am I Dreaming 😲🤔💬?
81,Is this real or Madrid because the confuser is also confused
82,Andale nonse zikomo🤣🤣🤣🤣 in English All politicians their eggs 🥚🥚
83,Zomwezija zizipitililabe 🥲
84,Pakala-pakala government
85,When I says politicians will not see heaven
86,"Once you have lived 5 years in malawi you can survive anywhere in the world.

Maphuzo kungosungila poti ndife akulu ampingo."
87,"Mwina maths akundigaya ndi ineyo..... if 120 million dollars = >120 million litres  IE buying price is less than 1 dollar....
Selling price is 4 dollars..... eeee mukutipweteka ma guy!!"
88,Mpezeni dangote
89,the problem you relax after you bought 120 million litres at the first time. it was the time you could have started searching for forex before it gets  completely finished as you said.
90,G to G was the best move
91,Forex so kachingati?😂
92,"Thanks for the update let me charge my earpords first, for this is best transport ever 😅"
93,"Chakwera is smiling now and he's like ""simunati apapa zangoyamba""😂"
94,Zosayenda olo pang'ono ...lord have mercy upon us 🙏
95,I hope now he is remembering the words in parliament in those days  . That some could stand and clap hands for the words said . Now ?????
96,"I am still looking forward to leadership that thinks several steps ahead, leadership that can anticipate challenges and prepare contingency plans for when things go wrong. We should never have reached a point where our fuel reserves are completely depleted. Someone should have foreseen this situation, anticipated potential disruptions, and put measures in place to prevent it. Other countries began securing fuel supplies long ago in preparation for scenarios like this."
97,Tchito ilipo malu
98,The honest government with restless and fruitful efforts.
99,"Meanwhile, Iran is not relenting...."
100,I better say nothing than say little out so much I have to say
101,No where to go 🥺🥺🥺 G to G munathetseranji ?
102,Komabe with chakwera it could have been worse
103,Komatu ambiri azolowera kuyenda pansi kale moti musadandaule zili bwino komanso akumakhala akhuta nsima 🤣🤣🤣
104,Always have a contingency plan ...
105,"Where there’s no vision, the people perish"
106,Chilungamo chimapweteka koma chimamasula that's the way to go don't hide important  issues
107,Then why can't we work on the alignment of the kwacha with the dollar
108,🤣 🤣 Never go back to your ex lero siizi
109,Where is the simple phone call the minister of energy made the other day kuti kukhale ngambwingambwi? Airtime yathamo?
110,"We are cooked as a nation,tili mu oven"
111,120%120==1usd per little
112,G to G was a proper deal.
113,"We are here again, Malawi at crossroads🤷"
114,Is this the return to the proven readership u were talking about? 🤔😂😂
115,"That's point of maths Mr Minister,we need sustainable solutions not just borrowing..paja u had solutions to all these problemstu"
116,"G2G ija was good idea

Koma politics eish"
117,After atatokota anyamata a hot current 😅🔥
118,"I have trust in this government, they will sort it out"
119,".......a return to proven leadership....,"
120,Even ACCEPTANCE is  a major option
121,Now it makes sense 😜 when it's your turn😜😜
122,We joke too much in this kantile.So now we're in that state of borrowing to swallow?
123,Anzanu amawalora pangongolepo. That's how God favour works. May God remember our country 🙆
124,Now you know G2G would be a better option🤧
125,The real fuel is flowing in our veins.
126,we want a change and we changed 🙌🙌🙌🙌
127,Chrispin Mlamba Malembo 2 steps forward 10 steps backwards
128,I don't have a lawyer
129,"They said once they take over, fuel problems would disappear. True… the fuel disappeared completely. ⛽🚶‍♂️"
130,This is not the end of beginning but the beginning of the end
131,In Malawi we don’t measure salt and we just sprinkle untill we hear the spirit of our ancestors say it's enough my child ungadzadze!
132,Am supporting this post with three bags of fertilizer 🤣🤣
133,"While the lion sleeps at our beautiful house neng'aaaa !!! The slogan is ""Mwakhaula!!! Eeeee!!! Mzabwerezanso!!!! Aiiiiiiiii!!"
134,Ndiye mukabwereka ndalamazo nkugula mafuta kenako mafutawo akazatha forex ina muzayitenga kuti? Zoonadi sitima imaphweka akamayendesa wina ndipo chili kwanzako usamati chigwire nyanga. Boma lija ndi limenelo yendesani 😂😂
135,"""Running a government is not for small boys"". - APM

Komabe president ndiyemweyu basi."
136,"Magalimoto a Electric, hybrid & 1000cc engine adakadika mtengo pa border and far most we should stop using road transport as means of bringing fuel koma we go back to railway system while we plan for pipe line.

Kodi dzikoli likumavita pati kuyendesa???"
137,Forex😂😂😂we joke too much...Dpp  why u want to fail us again?
138,"When dry season comes it is when the depth of the well can measured,,,,,,, 🤣🤣🤣🤣"
139,Iam supporting this post with 5bags of maize
140,What else can I say 😂😂😂 matapwisi government.
142,DPP followers they that it's AI
143,If malawi were like Facebook account would have logged out kaye
144,The first and most important step to solving a problem is acknowledging that there is a problem. We are on course.
