,text
219,"And this is harvesting season kaa🙄chimanga chani mukutchipitsacho apart from fertilizer odula uja,this is another thing now"
220,What if the war lasts 2 years😢
221,"1. Fuel
2. Magetsi
3. Civil servants salaries
4. Tobbaco prices
5. Sugar
6. Forex
7. Madzi"
222,We don't eat politics
223,Maguy kumaliopa mawa munkayankhulisa 😩😩💔
224,"Those who voted for change, have now realised that the change is here"
225,"My worry is after 120 million liters, thereafter and after and what will happen with katapira we are getting. Kayaaaaa"
226,"DPP and MCP same whatsaap group,
Out of the frying pan into the fire. Chabwino palibe"
227,How big is the bag that you carry that cash?
228,Cadets thinking like its AI 🤣🤣🤣🤣🤣
229,"Did you know that some problems are like ""96"" even if you turn it upside down it remains ""96""😂"
230,high time we thought of buying donkeys
231,Why did we remove chakwera🤔🤔
232,"The way Nsima has helped me in this life,, I'll name my Son Nsimason and my Daughter Nsimalisa 😎😂"
233,The real Bagamoyo is being experienced
234,What goes around comes back around. Mwaiwala padzana  🤣🤣🤣🤣
235,Welcome to Malawi where you can't leave without *600# in your life l🚶‍➡️
236,🗣️Trump come and rescue Malawiiiii!!!!
237,Namalomba waluza memory 🤣🤣 is that you?? Really??
238,Proven what?😅
239,I'll believe him when I see him on the fuel queue
240,He's prolly hallucinating 🤣🤣
241,I thot u guys had a plan😂😂
242,"Lets dance they don't call me nyangw'alingw'a for nothing 

Mwakhaula eti"
243,You got this mesa?
244,Hater will say it's fake news 😄
245,Pepa pepa Namalomba
246,Probably the sweetest news MCP has ever had this month if not this year. I am sure this post is trending in MCP forums. Even those who stopped talking to each other are now sharing jokes because of this post.
247,The birth pain of another world.
248,Kumasamala mayankhulidwe mulungu anatibisira mawa
249,Truth served is better than LIES.
250,The coming of proven leadership 🥳🥳
251,Can we import electric buses for public transport to reduce fuel demand
252,"That's y I'm very happy to be a Malawian,,,sitingagone opanda nkhan😂"
253,I said already this! Km kusamva
254,Abola tikudy anja alipo?
255,Let me just laugh for now
256,The return of chani chani khaya
257,"Koma Boma ili lagwa mwachangu, only 6 months basi lathapo, Boma lama Bulutu ili 😂😂😂😂"
258,Nde mwat tidekhe???🙄🙄🙄🙄
259,120M dollars =120M litres 🙄🙄
260,I thought you had plan B & C than the previous government 😢
261,This will be sorted out. It's darker at dawn so they say
262,"They are three rings in a marriage 
1:  engagement ring 
2: wedding ring 
3: Suffer ring     
👏👏"
263,Amalawi limbani mtima ingodikilani real economist Dalitso Kabambe 2030
264,"Aras! The government was given to them, Aras! They didnt know what to do with it! 😂😂"
265,Bola ma toilet akuzaza😂
266,ELI JAH under the leadership of mkulukuta moyo 😁
267,What is the government doing to ensure there is enough foreign exchange? Has it started producing goods for export to generate forex? Kapena zili mma pepala basi?
268,You can't park your car like that Mr Namalomba
269,Munalakwitsa kuchotsa g to g ija.It was bad timing 🙆
270,Same game but deferent  player's if you know you know 😂😂🤔🤔
272,Funny thing when they go for their trips outside the country forex is never an issue
273,Anthu awa amaoneka azeru kwambir ali Ku opposition🤔 ndizodabwitsa akunenazi kutidi zikuchoka pakamwa pa Namalomba izi
274,Thought you said we have 2.5 months import cover ?
275,Mitu sikugwira neba
276,1 litter  is costing 1 USD
277,"MCP ankasowa koma anali otchipa, DPP akusowabe koma chimtengo ngati akuchokera kumwamba."
279,"Kodi Mesa polowa m'boma munkati mwapanga plan yothana ndi mavuto amewa ndiye izizi ndi ziti, ndiye bolaso mcp yija bwanji."
280,"Dolo ndi DK , this UTM president ankanena kuti njila zomwe mukusatazi , forex komaso mavuta ena aza chuma satha mziko muno. Si izi tsano"
281,And a commodity that is capable of bringing the much wanted forex is being given at a take away price. That's exactly where we miss as a government.
282,Paja ankati nkhondo sikhudza Malawi lelo why ?????
283,And when one tells the actual truth... We remain with no choice but to support him or her accordingly.... Unlike giving us false hopes as Mr Kunkuyu did
284,Nde tizigulabe pa 6 Sauzande mkathu? Mesa anthu munkati adhule bola azipezeka?
285,"What’s the difference with MCP? You’re still singing the same song, just with different verses. MCP focused on the Ukraine–Russia war"
286,"Lero anamalomba limenero 

Tatengani ma dollar aja mu mkawawnera patali muli ku opposition aja"
287,"Dzulo mkulu wina wake WA Dpp amandipempha ATI ndimugaire ndalama ya transport, ATI zamuvuta akufuna a zipita kwawo ku mulanje akayambilenso moyo wina.... Kufunsa transport akuti ndi almost k150,000... Ndangomuuza kuti apite ku state house akampase"
288,"Bola mkudya mgawiwa 🤣🤣🤣🤣🤣🤣
Ma cadets lipo pano koma"
