Unnamed: 0,text
358,It's just a matter of a phone call
359,Nthawi ndikachisilu ndinthu kumawopa mawa
360,Kusintha boma sikuthana ndi mavuto. anthu a ndale amatiwona kupusa
362,"Mesa mmati mumatha inu
Onetsani kuthakotu"
363,"Mesa munkati mukweza mafuta kuti asamasowe, ndie pano zikukhalaso bwanji?"
364,"Dance uja wayambika eti, 🤣"
365,"Inuyo lero amenewo
Uja mukakana azanu akamati nkhondoya ku  Ukraine

Zoona mwafika povetsa chisoni chonchi
Ndiye mufuna wachigago azitenga engine 🚂 yose kupita nayo pa pump
Tilore tilibe mtsogoleri😪😪😪"
366,Kod inuso forex mumadziwa Kuti idzakuvutani mumkayanhkura kwambiri Ngati Zanu zidzayenda pabwino any way good luck mkulukuta governmentDemocratic Progressive Party - DPP
367,Mahata ananena kale nkhani ya forex imeneyi
368,"Eya eya, chili kwa mzako usamangoti tachigwire nyanga. 
We were here when you accused MCP of cluelessness. Okay byee"
369,Tiyeni tingobweza Chinthuchi kwa azungu zatikanika tivomeleze 🤣🤣🤣💔💔💔
370,Zilibwino
371,Boma lakhumba zokhazokha fotsekeee
372,Tikuti Chakwera uja anali dolo.
373,"Kumaliwopa Mawa  pano akuyenda wapasi wakuntchito paja akuti bola akudya Nsima
Paja mukuti mumakazinga chimanga mumadya mnjira popita kuntchito nde mukununkhatu muzigulaso Roll On town yonse kununkhu 🤣🤣😂"
374,Woyeh
375,Ndingodusa ine ndingalakwise
376,"Namalomba siwa nzeru ndi azake aja.....
Ati mwanamveka amatsata economics kwambiri aaaaa😂😂😂😂..... MCP ndi DPP onse nzimodzi nzeru"
377,Koma pa campaign paja nde ma woyiwoyi ngati mudzachita zodziwika
378,Mufuseni kut sadalumbilebe kod?
379,Eetu sitima imapweka  akamayendetsa wina
381,Iiyiso nde iti iti
382,Zilibwino kt mwanena chilungamo🤭
383,Kod a Mpinganjira sangatingongozeko😭😭☠️ anthu owapempha tili nawo momunotu.....moti bwana bushiddizo simunganyengelele ?
384,Vuto lakusowa forex lilimkati ndipomwe inu mkupondeleza forex ku alimi afodya
385,Sitinanyamuke ! Wina uja Amati Ukraine war and covid wina Akuti Iran war !
386,Kumaliopa mawa muja mumayankhulira
387,Paja boma likamagwa timaonela fuel
388,Owoo?
389,Kmatu pa pump panja timapereka cash ndye aaaaa sindkudziwa kut vuto ndchan mmalo mongotolera ndalama mpump ose ndikusitsana  ndma dollars kut mafuta apezeke kapena mugulila soya peaces
390,Mesa munkati mukangolowa forex idzayamba kupezeka kufuna kutamika mzanu uja munkaona ngat kape koma ndi dolo
391,Mmmh timagwiritsadi ntchito a G2G apa atha😔
392,"Ngini iyiyi imafunikila ma mafia kuti ajakanuze mafilimu. Masamu aketu si 1 + 1=2🙄🙄🙄 Zikufunikila ma yaza ena ake oti dziko amalikonda pang'ono kwinako akulipweteka mosalimvera chisoni muja. Koma ma gamba ake akakhala alenje omwe omwewo oti anangosintha maphedwe, palibe chomwe chingachitike. Mukundimvesa? Zufunikila kaganizidwe ka achina Major izi, tha tha tha anthu mdziko kukondwela kwinaku likuwumbuzidwa mwa pansipansi. Eh kaya bola ndakamba maganizo anga nane🤡🤡🤡"
393,Mama yangu
394,Zathapo😂
395,"Ubwino wake vote Yanga inapita ku UTM nde izi sizikundiwawa 

Paja a Malawi timanva chikwanje chili pa khosi nde osabwela Pano kuti muzitisokosela pitani mukazililile nokha kunyumba kwanu apo bii 2030 mwabweleseso achakwela 
Ubwino wake ku UTM timavomeleza kuti a Malawi yawo ndi sima 😂😜

Nde Kaya za mafuta zikukukhuza pati Kaya 😜"
396,Chaona mzako chapita mawa chili paiwe oho
397,Eeeh akavomere lero yet mbuyomu amakana 😂😂😂
398,Mamvuto okhaokha
399,Nyama za mnkhalango
400,Mulungu anatibisila mawa sure
401,Nyasaland
402,Vivian Nkombozi  waswera bwanji bele wanga 🤣
403,Mavuto tikadali nawo
404,Dziko mlozunguliladi
405,It's not only in malawi even here in south africa
406,Eshiii Namalomba wavomeleza???? Andale awa amatitola kwambili
407,"Kutitoleratu, misonkho yonseyi aziti alibe ndalama? Kutionerera mpaka apapa?"
408,Apa game yagona mwachangu.
409,Neba wabalalikq🤣
410,"2 Chronicles 7:14

Help us Lord"
411,"diesel D
petrol P
palibe P
(D,P,P)"
413,Nde ngongoreyi azabweze ndiyathu aboma kapena ndimuthu yemwe alibe galimoto🤣🤣🤣🤣🤣
414,Achina bola takhuta nsima
415,Azanu anapanga G to G
416,Magets azima ndiyn mupanga bwanji pajatu zanu nzapafone
417,Atelo aboma🫵🏾
418,Acceptance brings happiness
419,Mwina so ndi a tonse alliance 🤔🤔🤔
420,Mwana akalira nyanga ya nsatsi nsemere ifotere yekha
421,Sanalumbile adad awo 😅😅😅
423,Mumamatamika
424,Tigwilane manja? 😅😅 Aaaah khamani😏
425,Bola mcp idachoka boma iyaaaa
426,Munthu ...........
427,"Tagulitsani gold amanena Namiwa uja kuti tipeze forex,Kodi zikuvuta pati?"
428,Kukhuta nsima basitu kuuyamba wapansi ku ntchito
429,Chiku K Chigaru  za bho
